"lineNo","assgNo","fixcount","firstPassCnt","P1stFixation","P2stFixation","prevFixDur","firstfixDur","firstPassFixDur","nextFixDur","firstSaccLen","lastSaccLen","prevFixPos","landingPos","leavingPos","totalFixDur","meanFixDur","nRegressFrom","regressLen","nextWordRegress","regressDur","pupilDiamMax","pupilDiamLag","timePrtctg","nWordsInTitle","titleNo","wordNo","label"
67,2,1,1,1,0,99,179,179,298,185.1385,163.5619,39.0512,144.8189,125.1958,179,179.0000,0,0,0,0,0.2030,0.1995,0.0167,6,8,4,0
68,2,1,1,1,0,179,298,298,119,163.5619,269.9190,35.4401,123.5253,140.2284,298,298.0000,0,0,0,0,0.2030,0.1305,0.0278,6,8,5,0
69,2,1,1,1,0,298,119,119,139,269.9190,300.5204,368.4698,109.6643,116.0097,119,119.0000,0,0,0,0,0.2030,0.1305,0.0111,4,9,3,0
70,2,1,1,1,0,119,139,139,139,300.5204,267.9151,396.0114,106.3967,103.8809,139,139.0000,0,0,0,0,0.1995,0.1995,0.0130,7,10,1,0
71,2,1,1,1,0,139,139,139,219,267.9151,228.6974,187.8643,78.7544,67.9724,139,139.0000,0,0,0,0,0.0765,0.0765,0.0130,7,10,3,0
72,2,1,1,1,0,139,219,219,417,228.6974,0.0000,198.3633,32.0351,10.0623,219,219.0000,0,0,0,0,0.0585,0.0585,0.0204,7,10,6,0
73,2,1,1,1,1,239,199,199,119,885.2878,0.0000,882.3724,13.4629,41.1096,417,417.0000,1,119,0,0,0.1305,0.1305,0.0389,7,1,2,0
74,3,1,1,1,0,0,259,259,199,0.0000,106.0578,0.0000,101.7706,97.5115,259,259.0000,0,0,0,0,-0.0045,0.0550,0.0457,7,1,1,0
75,3,1,1,1,0,259,199,199,239,106.0578,124.5361,95.3362,19.1638,30.6023,199,199.0000,0,0,0,0,0.0380,0.0550,0.0351,7,1,2,0
76,3,1,1,1,0,199,239,239,318,124.5361,278.2813,114.0395,20.0062,33.2039,239,239.0000,0,0,0,0,0.0550,0.0550,0.0422,7,1,4,0
77,3,2,2,1,1,239,318,537,179,278.2813,146.2771,363.1928,92.1954,224.0022,537,268.5000,0,0,0,0,0.0550,0.0530,0.0948,7,2,1,0
78,3,1,1,1,0,219,179,179,199,146.2771,150.0675,128.0352,20.6155,19.5064,179,179.0000,0,0,0,0,0.0530,0.1660,0.0316,7,2,3,0
79,3,1,1,1,0,179,199,199,99,150.0675,226.5050,94.3398,58.7133,46.0109,199,199.0000,0,0,0,0,0.0530,0.1675,0.0351,7,2,4,0
80,3,1,1,1,0,199,99,99,159,226.5050,135.7765,134.0149,83.5374,76.0953,99,99.0000,0,0,0,0,0.0530,0.2915,0.0175,7,2,6,0
81,3,1,1,1,0,99,159,159,239,135.7765,769.5474,94.6414,40.5123,29.6522,159,159.0000,0,0,1,0,0.0530,0.2915,0.0281,7,2,7,0
82,3,1,1,1,1,159,239,239,99,769.5474,85.7263,856.8460,91.2140,119.8207,239,239.0000,1,1669,0,438,0.0530,0.2915,0.0422,5,3,1,2
83,3,1,1,1,0,239,99,99,159,85.7263,247.4252,19.3132,79.7621,72.2496,99,99.0000,0,0,1,198,0.0380,0.2915,0.0175,5,3,2,2
84,3,1,1,1,0,99,159,159,159,247.4252,162.2906,94.2603,150.2406,138.7597,159,159.0000,1,318,0,338,0.0650,0.2915,0.0281,5,3,3,2
85,3,1,1,1,0,159,159,159,179,162.2906,160.0031,133.1841,23.5478,25.0000,159,159.0000,1,656,0,0,0.1600,0.2915,0.0281,5,3,5,2
86,3,2,1,1,0,99,159,159,159,160.0031,294.6697,298.1677,140.1285,53.0212,338,169.0000,1,318,0,338,0.1660,0.2915,0.0597,5,3,3,2
87,3,1,1,1,1,159,239,239,99,294.6697,144.4247,347.0014,50.8183,48.3141,219,219.0000,1,1669,0,438,0.1675,0.2915,0.0387,5,3,1,2
88,3,1,1,1,0,239,99,99,159,144.4247,111.4641,76.3217,70.8255,60.7166,99,99.0000,0,0,1,198,0.2915,0.2915,0.0175,5,3,2,2
89,3,1,1,1,0,99,457,457,219,111.4641,105.5746,191.9505,98.1186,101.1496,457,457.0000,0,0,0,0,0.2915,0.2915,0.0807,6,4,1,0
90,3,1,1,1,0,457,219,219,139,105.5746,217.0190,185.5505,96.2094,101.4027,219,219.0000,1,298,0,0,0.2915,0.1945,0.0387,5,6,1,1
91,3,1,1,1,1,159,239,239,99,217.0190,276.2413,245.5443,117.5766,118.2582,139,139.0000,1,1669,0,438,0.2915,0.1945,0.0245,5,3,1,2
92,3,1,1,0,1,139,159,159,99,276.2413,133.4541,241.6982,34.0037,12.2066,159,159.0000,0,0,0,0,0.2655,0.3395,0.0281,5,6,3,1
93,3,1,1,0,1,159,99,99,219,133.4541,219.5820,129.0659,18.0000,13.0096,99,99.0000,0,0,0,0,0.1605,0.3395,0.0175,5,6,4,1
94,3,2,2,0,1,99,219,318,159,219.5820,389.9551,116.5204,105.7213,24.4182,318,159.0000,0,0,0,0,0.1945,0.3395,0.0561,5,6,5,1
95,3,1,1,1,0,99,159,159,99,389.9551,223.1636,481.9315,89.9847,80.5373,159,159.0000,0,0,0,0,0.1945,0.3395,0.0281,4,8,1,1
96,3,2,2,1,0,159,99,179,258,223.1636,218.0166,182.3321,32.2374,33.6823,179,89.5000,0,0,0,0,0.1945,0.3395,0.0316,4,8,4,1
97,3,1,1,1,0,80,258,258,99,218.0166,219.5091,256.0879,76.8651,78.6289,258,258.0000,0,0,0,0,0.1665,0.1665,0.0455,5,10,2,0
98,3,1,1,1,0,258,99,99,139,219.5091,708.5176,106.0189,112.0279,88.0909,99,99.0000,0,0,0,0,0.0880,0.0880,0.0175,5,10,4,0
99,3,1,2,1,1,239,318,537,179,708.5176,0.0000,777.9769,67.5000,62.1390,139,139.0000,0,0,0,0,0.1705,0.1705,0.0245,7,2,1,0
100,3,1,1,1,1,159,239,239,99,51.3931,0.0000,74.6525,66.5019,65.1230,259,259.0000,1,1669,0,438,0.3395,0.3395,0.0457,5,3,1,2
101,4,1,1,1,0,0,378,378,139,0.0000,747.6505,0.0000,89.6172,95.1893,378,378.0000,0,0,0,0,0.2350,0.2360,0.0477,7,1,1,0
102,4,1,1,1,1,378,139,139,139,747.6505,197.5057,756.0225,80.0391,86.6747,139,139.0000,0,0,0,0,0.2360,0.2360,0.0175,6,10,1,0
103,4,1,1,1,0,139,139,139,139,197.5057,123.9163,58.2151,140.0571,129.5782,139,139.0000,0,0,0,0,0.2360,0.2270,0.0175,6,10,2,0
104,4,1,1,1,1,139,139,139,99,123.9163,64.1580,179.9806,54.1503,61.7353,139,139.0000,2,5266,0,478,0.2360,0.1960,0.0175,9,9,3,2
105,4,1,1,1,1,378,139,139,139,64.1580,57.9008,182.1648,118.1397,115.5865,99,99.0000,0,0,0,0,0.2360,0.1960,0.0125,6,10,1,0
106,4,1,1,0,1,99,159,159,99,57.9008,176.5113,115.0391,65.0250,67.7661,159,159.0000,0,0,0,1134,0.2360,0.1960,0.0201,9,9,1,2
107,4,1,1,1,1,139,139,139,99,176.5113,622.6357,47.0106,125.2557,122.7243,99,99.0000,2,5266,0,478,0.2270,0.1960,0.0125,9,9,3,2
108,4,2,2,0,1,99,139,238,358,622.6357,121.6439,560.1080,60.9631,55.3263,238,119.0000,2,12185,0,895,0.1960,0.1960,0.0300,9,9,9,2
109,4,2,2,0,1,99,358,438,298,121.6439,192.6655,208.0024,88.9452,103.0886,438,219.0000,0,0,1,438,0.1960,0.1755,0.0552,9,9,8,2
110,4,2,2,0,1,99,139,238,358,192.6655,720.0694,52.1728,141.5883,80.7527,457,228.5000,2,12185,0,895,0.1960,0.1755,0.0576,9,9,9,2
111,4,1,1,1,1,139,139,139,99,720.0694,121.7015,761.0532,43.0116,58.0000,239,239.0000,2,5266,0,478,0.1755,0.1485,0.0301,9,9,3,2
112,4,1,1,0,1,99,159,159,99,121.7015,83.1685,173.0462,55.9397,68.9366,378,378.0000,0,0,0,1134,0.1755,0.0895,0.0477,9,9,1,2
113,4,1,1,1,0,378,179,179,219,83.1685,480.3543,79.4292,20.5730,23.1138,179,179.0000,0,0,0,537,0.1485,0.1470,0.0226,8,8,2,0
114,4,1,1,1,0,179,219,219,139,480.3543,311.1370,380.0329,98.0434,96.5013,219,219.0000,0,0,0,657,0.0895,0.1470,0.0276,8,8,5,0
115,4,1,1,1,0,219,139,139,278,311.1370,182.5829,408.2707,98.5203,103.1213,139,139.0000,1,358,0,737,0.0895,0.1470,0.0175,5,7,3,1
116,4,1,1,1,0,139,278,278,80,182.5829,109.0046,276.0290,92.5014,98.0000,278,278.0000,0,0,0,1112,0.0895,0.1470,0.0351,5,7,1,1
117,4,1,1,1,0,219,139,139,278,109.0046,180.2776,76.0592,35.0143,29.8412,80,80.0000,1,358,0,737,0.0805,0.1470,0.0101,5,7,3,1
118,4,1,1,1,0,80,99,99,278,180.2776,108.1400,78.0577,98.6534,112.0413,99,99.0000,0,0,1,853,0.0805,0.1470,0.0125,5,7,4,1
119,4,1,1,1,0,99,278,278,139,108.1400,139.0081,81.6149,40.0562,49.6488,278,278.0000,1,139,0,834,0.0805,0.1470,0.0351,5,7,5,1
120,4,1,1,1,0,80,99,99,278,139.0081,356.6287,233.0536,93.2269,90.5166,139,139.0000,0,0,1,853,0.1160,0.1470,0.0175,5,7,4,1
121,4,1,1,0,1,139,199,199,199,356.6287,486.1548,386.1606,57.1074,72.2011,199,199.0000,0,0,0,597,0.1470,0.1470,0.0251,8,8,1,0
122,4,1,1,1,0,199,199,199,179,486.1548,115.9741,453.3487,124.1471,131.8048,199,199.0000,0,0,0,597,0.1470,0.0775,0.0251,7,3,1,0
123,4,1,1,1,0,199,179,179,199,115.9741,80.5140,148.4082,81.6241,81.6364,179,179.0000,0,0,0,537,0.1470,0.1710,0.0226,6,4,1,0
124,4,1,1,1,0,179,199,199,139,80.5140,242.4113,84.8764,79.0569,70.3651,199,199.0000,0,0,0,597,0.1470,0.1710,0.0251,5,5,1,1
125,4,1,1,1,0,199,139,139,119,242.4113,290.0728,184.1657,54.0370,48.5412,139,139.0000,0,0,1,417,0.0775,0.2875,0.0175,5,5,3,1
126,4,1,1,1,0,139,119,119,139,290.0728,113.5837,25.0799,263.6371,252.0496,119,119.0000,1,1410,1,2505,0.0775,0.2875,0.0150,5,5,4,1
127,4,1,1,1,0,119,139,139,338,113.5837,177.9129,17.2627,94.2245,86.7828,139,139.0000,1,1947,0,417,0.0775,0.2875,0.0175,5,5,5,1
128,4,2,1,1,0,139,119,119,139,177.9129,128.9079,365.0055,180.8349,34.6771,537,268.5000,1,1410,1,2505,0.0775,0.2875,0.0677,5,5,4,1
129,4,2,2,1,0,199,139,536,179,128.9079,359.2944,229.2182,101.0309,66.4116,536,268.0000,0,0,0,2680,0.1710,0.5560,0.0676,5,5,2,1
130,4,1,1,0,1,397,179,179,239,359.2944,189.3621,357.8407,20.2485,37.0304,179,179.0000,0,0,0,895,0.2875,0.5560,0.0226,7,1,3,0
131,4,1,1,1,0,179,239,239,119,189.3621,183.8920,257.8410,83.3802,90.2441,239,239.0000,0,0,0,1195,0.2875,0.5560,0.0301,7,2,1,1
132,4,1,1,1,0,239,119,119,139,183.8920,161.3459,168.5764,21.0772,18.5068,119,119.0000,0,0,0,595,0.2875,0.5560,0.0150,7,2,3,1
133,4,1,1,1,0,119,139,139,99,161.3459,318.5769,134.1827,38.8973,19.1638,139,139.0000,0,0,0,695,0.2800,0.5560,0.0175,7,2,4,1
134,4,2,2,1,0,139,99,198,139,318.5769,558.2764,253.1600,63.0317,224.5557,198,99.0000,0,0,0,990,0.2590,0.2590,0.0250,7,2,7,1
135,4,2,2,0,1,99,139,238,358,558.2764,0.0000,585.4315,58.3631,98.7484,219,109.5000,2,12185,0,895,0.5560,0.5560,0.0276,9,9,9,2
136,4,1,1,0,0,80,278,278,0,823.0608,0.0000,816.0741,10.9202,11.4127,278,278.0000,0,0,1,556,0.5560,0.5560,0.0351,9,9,2,2
137,5,1,1,1,1,0,139,139,199,0.0000,165.0969,0.0000,114.5098,117.7200,139,139.0000,1,397,1,1095,0.0635,0.0635,0.0124,6,1,1,0
138,5,1,1,1,0,139,199,199,99,165.0969,321.8113,134.0149,35.5106,33.5336,199,199.0000,0,0,0,0,0.0635,0.0635,0.0178,6,1,3,0
139,5,1,1,1,0,199,99,99,259,321.8113,520.4087,219.0365,107.7033,102.8129,99,99.0000,0,0,0,0,0.0635,0.0445,0.0088,6,1,5,0
140,5,1,1,1,1,99,259,259,258,520.4087,137.6890,513.4608,39.0544,32.0663,259,259.0000,0,0,1,715,0.0635,0.0445,0.0231,7,2,2,0
141,5,1,1,1,0,259,258,258,119,137.6890,83.8630,145.0862,68.6331,97.3293,258,258.0000,1,775,1,715,0.0635,0.0320,0.0231,4,3,1,2
142,5,1,1,1,1,258,119,119,219,83.8630,245.3997,20.5183,89.0898,104.8058,119,119.0000,1,6144,0,179,0.0445,0.0320,0.0106,4,3,2,2
143,5,1,1,1,0,119,219,219,258,245.3997,94.0332,214.3362,34.0331,33.5596,219,219.0000,2,815,0,457,0.0445,0.0320,0.0196,4,3,4,2
144,5,1,1,1,0,219,258,258,199,94.0332,186.1317,168.0268,72.6395,66.0000,258,258.0000,0,0,1,517,0.0045,0.0320,0.0231,4,3,3,2
145,5,1,1,1,0,119,219,219,258,186.1317,501.1559,68.1836,119.2057,111.0720,199,199.0000,2,815,0,457,0.0120,0.0320,0.0178,4,3,4,2
146,5,1,1,1,0,259,258,258,119,501.1559,80.6226,519.0087,19.0066,32.6382,179,179.0000,1,775,1,715,0.0210,0.0320,0.0160,4,3,1,2
147,5,1,1,1,1,179,219,219,239,80.6226,91.9674,83.2586,37.1652,31.8159,219,219.0000,1,398,0,0,0.0320,0.0320,0.0196,7,4,2,1
148,5,1,1,1,1,258,119,119,219,91.9674,111.5672,53.2353,69.5072,72.5328,239,239.0000,1,6144,0,179,0.0320,0.0745,0.0214,4,3,2,2
149,5,1,1,1,1,179,219,219,239,111.5672,172.0356,117.2902,7.6322,2.5495,159,159.0000,1,398,0,0,0.0320,0.0865,0.0142,7,4,2,1
150,5,1,1,0,1,159,179,179,199,172.0356,144.8456,31.0000,141.6272,133.0150,179,179.0000,0,0,0,179,0.0320,0.0915,0.0160,7,4,3,1
151,5,1,1,0,1,179,199,199,179,144.8456,174.6031,26.0000,116.1217,113.5396,199,199.0000,0,0,0,0,0.0320,0.0915,0.0178,7,4,4,1
152,5,1,1,0,1,199,179,179,199,174.6031,231.7159,91.1976,80.0562,88.7764,179,179.0000,0,0,0,0,-0.0195,0.0915,0.0160,7,4,5,1
153,5,2,2,0,1,179,199,338,80,231.7159,620.9420,46.6905,180.0250,99.9525,338,169.0000,0,0,0,0,-0.0035,0.1320,0.0302,7,4,6,1
154,5,2,2,1,1,139,80,219,139,620.9420,108.0567,713.3253,99.1690,121.1487,219,109.5000,0,0,0,219,0.0745,0.1320,0.0196,5,5,1,0
155,5,1,1,1,0,139,139,139,239,108.0567,169.9448,93.0054,13.2382,13.1244,139,139.0000,0,0,0,0,0.0745,0.1320,0.0124,5,5,2,0
156,5,1,1,1,1,139,239,239,219,169.9448,279.1008,244.9347,77.0584,92.5662,239,239.0000,0,0,0,219,0.0865,0.1690,0.0214,4,6,1,1
157,5,2,2,1,1,239,219,338,80,279.1008,248.0952,186.0000,101.5788,58.3545,338,169.0000,0,0,0,139,0.0915,0.1855,0.0302,4,6,3,1
158,5,1,1,1,0,119,80,80,278,248.0952,62.0987,333.2567,97.8621,94.4788,80,80.0000,0,0,0,0,0.0915,0.1855,0.0071,5,7,1,0
159,5,1,1,1,1,80,278,278,397,62.0987,116.4174,118.6971,91.3592,97.5141,278,278.0000,0,0,0,139,0.1320,0.1855,0.0248,5,8,1,0
160,5,1,1,1,1,278,397,397,99,116.4174,80.0765,134.3577,71.5681,81.4448,397,397.0000,0,0,0,298,0.1320,0.1855,0.0355,8,9,1,1
161,5,1,1,1,0,397,99,99,99,80.0765,295.1085,75.0067,40.1123,42.5265,99,99.0000,0,0,0,0,0.1320,0.1855,0.0088,9,10,2,1
162,5,1,1,1,0,99,99,99,119,295.1085,125.0770,214.0210,84.0387,70.4450,99,99.0000,0,0,0,0,0.1690,0.1700,0.0088,9,10,4,1
163,5,1,1,1,0,99,119,119,199,125.0770,293.3343,15.0000,107.0012,101.8982,119,119.0000,0,0,0,0,0.1855,0.1700,0.0106,9,10,5,1
