"UNITID","school_name","city","state","zip","school_webpage","latitude","longitude","admission_rate","sat_verbal_midrange","sat_math_midrange","sat_writing_midrange","act_combined_midrange","act_english_midrange","act_math_midrange","act_writing_midrange","sat_total_average","undergrad_size","percent_white","percent_black","percent_hispanic","percent_asian","percent_part_time","average_cost_academic_year","average_cost_program_year","tuition_(instate)","tuition_(out_of_state)","spend_per_student","faculty_salary","percent_part_time_faculty","percent_pell_grant","completion_rate","predominant_degree","highest_degree","ownership","region","gender","carnegie_basic_classification","carnegie_undergraduate","carnegie_size","religious_affiliation","percent_female","agege24","faminc","mean_earnings_6_years","median_earnings_6_years","mean_earnings_10_years","median_earnings_10_years"
101505,'Jefferson State Community College',Birmingham,AL,35215-3098,www.jeffstateonline.com,33.6524,-86.7074,?,?,?,?,?,?,?,?,?,7494.0,0.6894,0.2171,0.0388,0.0169,0.6182,12943.0,?,4260.0,7590.0,4576.0,6079.0,0.3348,0.3579,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Urban-serving Multicampus','Higher part-time two-year','Large 2-year ( 5000 to 9999)',?,0.73000001907348,0.46000000834465,33078.37,27200.0,24700.0,33400.0,30300.0
101514,'John C Calhoun State Community College',Tanner,AL,35671,www.calhoun.edu,34.6543,-86.9491,?,?,?,?,?,?,?,?,?,9970.0,0.6627,0.1949,0.0396,0.0191,0.5785,9829.0,?,4140.0,7410.0,3720.0,6083.0,0.2998,0.4032,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Large','Mixed part/full-time two-year','Large 2-year ( 5000 to 9999)',?,0.66000002622604,0.47999998927116,33714.57,26400.0,23500.0,31700.0,27200.0
101541,'Judson College',Marion,AL,36756,www.judson.edu,32.6305,-87.3161,0.7388,595.0,550.0,570.0,22.0,23.0,20.0,?,1023.0,331.0,0.7915,0.145,0.0151,0.0091,0.2115,27815.0,?,15630.0,15630.0,9293.0,5638.0,1.0,0.4788,0.4051,Bachelors,Bachelors,'Private nonprofit','Southeast',WOMENONLY,'Baccalaureate Colleges--Arts & Sciences','Medium full-time four-year selective higher transfer-in','Very small 4-year primarily residential (less than 1000)',Baptist,0.97000002861022,0.2199999988079,49479.42,20700.0,20200.0,33800.0,30700.0
101569,'Lawson State Community College-Birmingham Campus',Birmingham,AL,35221-1717,www.lawsonstate.edu,33.4517,-86.8902,?,?,?,?,?,?,?,?,?,2894.0,0.1448,0.7557,0.0104,0.0031,0.3825,12602.0,?,4230.0,7590.0,5705.0,6005.0,0.4093,0.6821,?,Certificate,Associate,Public,'Southeast',COED,'Associate\'s--Public Urban-serving Multicampus','Mixed part/full-time two-year','Medium 2-year (2000 to 4999)',?,0.69999998807907,0.38999998569488,16636.97,22200.0,19500.0,26700.0,22300.0
101587,'University of West Alabama',Livingston,AL,35470,www.uwa.edu,32.5924,-88.1861,0.9957,?,?,?,20.0,19.0,20.0,?,950.0,1988.0,0.4291,0.4195,0.0216,0.0101,0.1479,17959.0,?,7660.0,14170.0,8898.0,6408.0,0.5404,0.5604,0.3161,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (larger programs)','Medium full-time four-year selective higher transfer-in','Medium 4-year primarily residential (3000 to 9999)',?,0.56999999284744,0.20999999344348,37752.64,31400.0,28500.0,36600.0,33800.0
101602,'Lurleen B Wallace Community College',Andalusia,AL,36420-1418,www.lbwcc.edu,31.3229,-86.4523,?,?,?,?,?,?,?,?,?,1372.0,0.7259,0.2493,0.0087,0.0058,0.2937,13204.0,?,4170.0,7500.0,5904.0,5629.0,0.6531,0.5753,?,Certificate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Small','Medium full-time two-year','Small 2-year (500 to 1999)',?,0.6700000166893,0.38999998569488,21222.83,24200.0,20800.0,31800.0,28000.0
101648,'Marion Military Institute',Marion,AL,36756-3207,www.marionmilitary.edu,32.6224,-87.318,0.6034,525.0,530.0,?,22.0,21.0,22.0,?,1040.0,411.0,0.5766,0.2287,0.1022,0.0365,0.0,16520.0,?,8570.0,14570.0,6128.0,5909.0,0.75,0.4424,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Small','Higher full-time two-year','Very small 2-year (less than 500)',?,0.12999999523162,0.02999999932944,59734.02,30300.0,26100.0,53000.0,48500.0
101675,'Miles College',Fairfield,AL,35064-2621,www.miles.edu,33.4813,-86.9086,?,?,?,?,?,?,?,?,?,1663.0,0.018000000000000002,0.9693,0.0054,0.0,0.0523,21336.0,?,11454.0,11454.0,4921.0,4026.0,0.7786,0.8227,0.21600000000000003,Bachelors,Bachelors,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Full-time four-year inclusive','Small 4-year primarily residential (1000 to 2999)','Christian Methodist Episcopal',0.50999999046325,0.15000000596046,27816.45,21700.0,19400.0,28700.0,27200.0
101693,'University of Mobile',Mobile,AL,36613-2842,www.umobile.edu,30.7932,-88.1289,0.7125,540.0,575.0,?,23.0,24.0,21.0,?,1058.0,1472.0,0.6461,0.21600000000000003,0.0122,0.0095,0.1461,30108.0,?,18690.0,18690.0,6715.0,5024.0,1.0,0.5032,0.4904,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Full-time four-year selective higher transfer-in','Small 4-year primarily residential (1000 to 2999)','Southern Baptist',0.68000000715255,0.40000000596046,51471.07,31600.0,28600.0,40900.0,37800.0
101709,'University of Montevallo',Montevallo,AL,35115-6000,www.montevallo.edu,33.1063,-86.8651,0.8729,554.0,508.0,510.0,23.0,25.0,21.0,?,1070.0,2610.0,0.7368,0.1398,0.023,0.0065,0.1004,20209.0,?,10000.0,19690.0,7719.0,7035.0,0.5951,0.4136,0.4493,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (medium programs)','Full-time four-year selective lower transfer-in','Small 4-year primarily residential (1000 to 2999)',?,0.68999999761581,0.15999999642372,58419.08,26800.0,26300.0,36300.0,35100.0
101736,'Northwest-Shoals Community College','Muscle Shoals',AL,35661,www.nwscc.edu,34.7396,-87.6773,?,?,?,?,?,?,?,?,?,3235.0,0.8195,0.127,0.0343,0.0031,0.4331,9111.0,?,4140.0,7470.0,5013.0,6055.0,0.5366,0.5233,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Mixed part/full-time two-year','Medium 2-year (2000 to 4999)',?,0.63999998569488,0.34999999403953,29186.33,24000.0,20400.0,30200.0,26300.0
101879,'University of North Alabama',Florence,AL,35632-0001,www.una.edu,34.8066,-87.681,0.8092,489.0,482.0,?,22.0,20.0,22.0,?,1028.0,5536.0,0.715,0.1384,0.0246,0.0038,0.1358,15058.0,?,7078.0,12670.0,6814.0,7152.0,0.9882,0.4192,0.3216,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (larger programs)','Full-time four-year selective higher transfer-in','Medium 4-year primarily nonresidential (3000 to 9999)',?,0.55000001192092,0.18999999761581,52611.8,30600.0,27800.0,39500.0,36300.0
101897,'Northeast Alabama Community College',Rainsville,AL,35986,www.nacc.edu,34.5455,-85.9117,?,?,?,?,?,?,?,?,?,2376.0,0.8885,0.0181,0.0526,0.0055,0.3973,7860.0,?,4200.0,7530.0,4473.0,6099.0,0.37200000000000005,0.628,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Mixed part/full-time two-year','Medium 2-year (2000 to 4999)',?,0.68999999761581,0.47999998927116,26342.02,24600.0,21300.0,31700.0,28700.0
101912,'Oakwood University',Huntsville,AL,35896,www.oakwood.edu,34.7566,-86.6616,0.3435,462.0,455.0,?,20.0,20.0,19.0,?,924.0,1854.0,0.0102,0.8495,0.0237,0.0016,0.0453,34705.0,?,16234.0,16234.0,7656.0,5307.0,1.0,0.5066,0.3632,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Full-time four-year inclusive','Small 4-year highly residential (1000 to 2999)','Seventh Day Adventists',0.56000000238418,0.12999999523162,54196.14,27400.0,20900.0,38800.0,33700.0
101949,'Alabama Southern Community College',Monroeville,AL,36460,www.ascc.edu,31.4889,-87.3264,?,?,?,?,?,?,?,?,?,1218.0,0.5452,0.4187,0.0074,0.0057,0.2726,10701.0,?,4200.0,7530.0,6731.0,5869.0,1.0,0.5602,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Small','Medium full-time two-year','Small 2-year (500 to 1999)',?,0.69999998807907,0.31999999284744,17293.63,23400.0,18600.0,27500.0,23200.0
101958,'Prince Institute-Southeast',Montgomery,AL,36117,princeinstitute.edu,32.3831,-86.1622,?,?,?,?,?,?,?,?,?,102.0,0.6667,0.2745,0.0294,0.0098,0.0,24676.0,?,9685.0,9685.0,5269.0,4710.0,?,0.6446,?,Associate,Associate,'Private for-profit','Southeast',COED,'Associate\'s--Private For-profit','Higher full-time two-year','Very small 2-year (less than 500)',?,0.89999997615814,0.5,39000.1,?,?,28700.0,29000.0
101994,'Reid State Technical College',Evergreen,AL,36401,www.rstc.edu,31.4607,-86.9645,?,?,?,?,?,?,?,?,?,414.0,0.47100000000000003,0.4928,0.0121,0.0024,0.37200000000000005,9693.0,?,4260.0,7590.0,5559.0,5875.0,0.6842,0.701,?,Certificate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Small','Medium full-time two-year','Small 2-year (500 to 1999)',?,0.75999999046325,0.52999997138977,16238.09,24200.0,19800.0,24200.0,20100.0
102030,'Bishop State Community College',Mobile,AL,36603-5898,www.bishop.edu,30.694000000000003,-88.057,?,?,?,?,?,?,?,?,?,3363.0,0.2551,0.672,0.0152,0.0149,0.3547,10059.0,?,4200.0,7530.0,5734.0,6173.0,0.568,0.6352,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Urban-serving Multicampus','Mixed part/full-time two-year','Medium 2-year (2000 to 4999)',?,0.66000002622604,0.43999999761581,15282.58,22300.0,18600.0,27400.0,22600.0
102049,'Samford University',Birmingham,AL,35229-2240,www.samford.edu,33.4646,-86.7909,0.7697,565.0,560.0,555.0,26.0,27.0,24.0,?,1153.0,2995.0,0.8114,0.0664,0.0664,0.008,0.0504,38835.0,?,26328.0,26328.0,14054.0,8261.0,0.9939,0.1494,0.6920000000000001,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Master\'s Colleges and Universities (medium programs)','Full-time four-year selective lower transfer-in','Medium 4-year highly residential (3000 to 9999)',Baptist,0.64999997615814,0.12999999523162,92968.08,41000.0,36400.0,57900.0,45800.0
102058,'Selma University',Selma,AL,36701,selmauniversity.org,32.4204,-87.0338,?,?,?,?,?,?,?,?,?,447.0,0.0336,0.9664,0.0,0.0,0.2841,11187.0,?,5840.0,5840.0,3672.0,3232.0,0.84,0.75,0.2133,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Special Focus Institutions--Theological seminaries Bible colleges and other faith-related institutions',?,?,Baptist,?,?,?,?,?,?,?
102067,'Shelton State Community College',Tuscaloosa,AL,35405-8522,www.sheltonstate.edu,33.1205,-87.5615,?,?,?,?,?,?,?,?,?,4859.0,0.5526,0.34700000000000003,0.0047,0.0111,0.495,13007.0,?,3900.0,7230.0,4407.0,4584.0,0.4248,0.5217,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Large','Medium full-time two-year','Medium 2-year (2000 to 4999)',?,0.62999999523162,0.31000000238418,17692.62,23600.0,20000.0,28500.0,24300.0
102076,'Snead State Community College',Boaz,AL,35957-0734,www.snead.edu,34.2007,-86.1695,?,?,?,?,?,?,?,?,?,2161.0,0.8242,0.0551,0.0689,0.0079,0.2883,9622.0,?,4260.0,7590.0,3589.0,4693.0,0.2986,0.5743,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Mixed part/full-time two-year','Small 2-year (500 to 1999)',?,0.68999999761581,0.43999999761581,20478.02,23900.0,20100.0,29300.0,26000.0
102094,'University of South Alabama',Mobile,AL,36688-0002,www.southalabama.edu,30.6951,-88.1819,0.8604,495.0,500.0,470.0,23.0,24.0,22.0,7.0,1064.0,11048.0,0.6374,0.22899999999999998,0.0246,0.0337,0.2076,17125.0,?,6948.0,13596.0,10325.0,7212.0,0.6418,0.3743,0.3342,Bachelors,Graduate,Public,'Southeast',COED,'Research Universities (high research activity)','Medium full-time four-year selective higher transfer-in','Large 4-year primarily nonresidential (over 9999)',?,0.64999997615814,0.31999999284744,45401.94,34400.0,30200.0,45200.0,38300.0
